Date, Reading
2020-10-30 22:15:01.902585,220
2020-10-30 22:15:01.903491,221
2020-10-30 22:15:01.905634,222
2020-10-30 22:15:01.906798,223
2020-10-30 22:15:01.909555,223
2020-10-30 22:15:01.915281,224
2020-10-30 22:15:01.918197,225
2020-10-30 22:15:01.919440,225
2020-10-30 22:15:01.920895,226
2020-10-30 22:15:01.922138,225
2020-10-30 22:15:01.923113,225
2020-10-30 22:15:01.924577,225
2020-10-30 22:15:01.925578,226
2020-10-30 22:15:01.926938,226
2020-10-30 22:15:01.929322,226
2020-10-30 22:15:01.930857,224
2020-10-30 22:15:01.931969,224
2020-10-30 22:15:01.933245,223
2020-10-30 22:15:01.934061,224
2020-10-30 22:15:01.935048,223
2020-10-30 22:15:01.936433,223
2020-10-30 22:15:01.937426,223
2020-10-30 22:15:01.938316,223
2020-10-30 22:15:01.939366,223
2020-10-30 22:15:01.941239,223
2020-10-30 22:15:01.942683,224
2020-10-30 22:15:01.943690,223
2020-10-30 22:15:01.944732,223
2020-10-30 22:15:01.945943,222
2020-10-30 22:15:01.947369,224
2020-10-30 22:15:01.949078,225
2020-10-30 22:15:01.950590,225
2020-10-30 22:15:01.953600,226
2020-10-30 22:15:01.954174,226
2020-10-30 22:15:01.954809,226
2020-10-30 22:15:01.955917,225
2020-10-30 22:15:01.957014,224
2020-10-30 22:15:01.957731,224
2020-10-30 22:15:01.959617,225
2020-10-30 22:15:01.961332,224
2020-10-30 22:15:01.962380,223
2020-10-30 22:15:01.963215,223
2020-10-30 22:15:01.963776,223
2020-10-30 22:15:01.967127,221
2020-10-30 22:15:01.967804,221
2020-10-30 22:15:01.968587,220
2020-10-30 22:15:01.969482,220
2020-10-30 22:15:01.970468,220
2020-10-30 22:15:01.971486,220
2020-10-30 22:15:01.972981,219
2020-10-30 22:15:01.975083,219
2020-10-30 22:15:01.977686,218
2020-10-30 22:15:01.978289,218
2020-10-30 22:15:01.978952,218
2020-10-30 22:15:01.980955,219
2020-10-30 22:15:01.983837,218
2020-10-30 22:15:01.984857,220
2020-10-30 22:15:01.987130,219
2020-10-30 22:15:01.987791,219
2020-10-30 22:15:01.989645,218
2020-10-30 22:15:01.990333,218
2020-10-30 22:15:01.991485,218
2020-10-30 22:15:01.993828,218
2020-10-30 22:15:01.994480,218
2020-10-30 22:15:01.995654,218
2020-10-30 22:15:01.998375,219
2020-10-30 22:15:01.999259,219
2020-10-30 22:15:01.999880,218
2020-10-30 22:15:02.001300,219
2020-10-30 22:15:02.003447,218
2020-10-30 22:15:02.005938,218
2020-10-30 22:15:02.006536,217
2020-10-30 22:15:02.008967,217
2020-10-30 22:15:02.010512,216
2020-10-30 22:15:02.011469,216
2020-10-30 22:15:02.014348,216
2020-10-30 22:15:02.015310,216
2020-10-30 22:15:02.016207,216
2020-10-30 22:15:02.018038,214
2020-10-30 22:15:02.018825,216
2020-10-30 22:15:02.020097,216
